timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1602092586.471,-6.348,-24.902,-18.066,-24.902,0.000,0
1602092586.475,-6.836,-26.855,-22.949,-18.066,0.000,0
1602092586.479,-26.367,-29.785,-26.367,-15.137,0.000,0
1602092586.483,-17.090,-31.250,-23.926,-12.695,0.000,0
1602092586.487,13.184,-26.855,-24.902,-11.230,0.000,0
1602092586.491,5.859,-23.438,-24.414,-15.625,0.000,0
1602092586.495,-52.734,-23.438,-23.926,-28.809,0.000,0
1602092586.498,-76.660,-21.973,-22.949,-24.414,0.000,0
1602092586.502,-63.477,-23.438,-20.508,-14.648,0.000,0
1602092586.506,-37.109,-22.949,-19.043,-17.578,0.000,0
1602092586.510,-16.602,-23.926,-22.461,-28.320,0.000,0
1602092586.514,-34.180,-24.414,-21.973,-30.273,0.000,0
1602092586.518,-41.016,-21.973,-15.625,-29.297,0.000,0
1602092586.522,-31.738,-20.996,-17.578,-24.902,0.000,0
1602092586.526,-32.227,-21.973,-19.043,-27.832,0.000,0
1602092586.530,-32.715,-21.484,-20.020,-33.691,0.000,0
1602092586.534,-29.297,-19.531,-18.066,-30.762,0.000,0
1602092586.538,-34.180,-20.996,-18.066,-36.133,0.000,0
1602092586.541,-25.879,-25.391,-21.484,-41.016,0.000,0
1602092586.545,0.000,-23.926,-20.508,-35.156,0.000,0
1602092586.549,-7.812,-25.391,-20.508,-33.691,0.000,0
1602092586.553,-33.691,-26.855,-19.531,-43.945,0.000,0
1602092586.557,-39.551,-25.391,-17.578,-46.875,0.000,0
1602092586.561,-30.273,-25.391,-14.160,-29.785,0.000,0
1602092586.565,-13.672,-27.344,-17.090,-20.996,0.000,0
1602092586.569,-18.555,-27.832,-20.020,-30.273,0.000,0
1602092586.573,-23.926,-28.320,-22.461,-35.645,0.000,0
1602092586.577,-36.133,-27.344,-27.832,-32.227,0.000,0
1602092586.580,-55.176,-25.391,-27.344,-35.645,0.000,0
1602092586.584,-60.547,-24.414,-30.273,-42.480,0.000,0
1602092586.588,-48.828,-22.461,-34.668,-32.227,0.000,0
1602092586.592,-38.574,-23.438,-32.715,-32.715,0.000,0
1602092586.596,-39.551,-25.879,-28.320,-38.574,0.000,0
1602092586.600,-28.809,-24.414,-28.809,-38.574,0.000,0
1602092586.604,-13.672,-23.926,-30.273,-27.344,0.000,0
1602092586.608,-14.160,-22.461,-30.273,-23.926,0.000,0
1602092586.612,-7.812,-24.414,-26.855,-25.391,0.000,0
1602092586.616,-6.836,-28.320,-27.832,-31.250,0.000,0
1602092586.620,-27.344,-30.762,-32.227,-35.645,0.000,0
1602092586.623,-28.809,-33.203,-26.855,-29.785,0.000,0
1602092586.627,-11.230,-30.762,-23.926,-29.297,0.000,0
1602092586.631,-12.695,-30.762,-21.973,-22.461,0.000,0
1602092586.635,-14.160,-26.855,-19.043,-17.090,0.000,0
1602092586.639,-13.672,-20.996,-19.043,-14.648,0.000,0
1602092586.643,-14.160,-20.020,-16.602,0.000,0.000,0
1602092586.647,-20.020,-23.926,-18.066,-21.484,0.000,0
1602092586.651,-10.742,-29.785,-20.996,-29.297,0.000,0
1602092586.655,-15.137,-32.227,-19.043,-23.926,0.000,0
1602092586.659,-36.621,-30.273,-18.066,-30.273,0.000,0
1602092586.663,-34.668,-30.273,-22.949,-17.578,0.000,0
