timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1593292842.072,180.664,-29.297,-33.203,140.137,0.000,0
1593292842.076,-50.293,-29.297,-29.297,-57.129,0.000,0
1593292842.079,-198.730,-27.344,-30.762,-179.199,0.000,0
1593292842.083,-138.672,-23.926,-29.785,-129.395,0.000,0
1593292842.087,74.707,-24.902,-29.297,61.523,0.000,0
1593292842.091,176.270,-30.273,-35.156,144.043,0.000,0
1593292842.095,-26.367,-32.227,-42.480,-43.945,0.000,0
1593292842.099,-194.336,-34.668,-40.039,-185.059,0.000,0
1593292842.103,-164.062,-35.156,-41.504,-153.809,0.000,0
1593292842.107,52.246,-29.785,-38.086,28.320,0.000,0
1593292842.111,213.867,-28.320,-36.621,164.062,0.000,0
1593292842.115,22.949,-30.762,-39.062,1.465,0.000,0
1593292842.119,-181.641,-34.668,-39.062,-168.945,0.000,0
1593292842.122,-174.805,-32.227,-35.156,-154.785,0.000,0
1593292842.126,20.508,-26.367,-32.715,25.391,0.000,0
1593292842.130,190.430,-24.414,-35.156,181.641,0.000,0
1593292842.134,37.109,-23.926,-34.668,34.668,0.000,0
1593292842.138,-162.598,-25.879,-34.180,-148.438,0.000,0
1593292842.142,-180.664,-29.785,-32.715,-145.996,0.000,0
1593292842.146,-15.625,-27.832,-33.691,0.000,0.000,0
1593292842.150,186.523,-29.297,-41.504,157.715,0.000,0
1593292842.154,81.543,-36.133,-40.527,51.270,0.000,0
1593292842.158,-139.648,-32.715,-33.691,-138.184,0.000,0
1593292842.161,-189.941,-26.367,-32.227,-163.086,0.000,0
1593292842.165,-40.039,-21.973,-27.344,-26.855,0.000,0
1593292842.169,179.199,-21.484,-27.344,151.855,0.000,0
1593292842.173,97.168,-25.391,-29.785,75.684,0.000,0
1593292842.177,-141.602,-27.832,-32.227,-129.883,0.000,0
1593292842.181,-195.312,-27.344,-32.715,-170.410,0.000,0
1593292842.185,-63.477,-25.879,-25.879,-50.293,0.000,0
1593292842.189,158.203,-28.320,-27.832,148.926,0.000,0
1593292842.193,128.906,-28.320,-32.715,108.398,0.000,0
1593292842.197,-111.816,-30.762,-30.273,-106.934,0.000,0
1593292842.201,-206.055,-37.109,-32.227,-172.363,0.000,0
1593292842.204,-99.121,-36.133,-32.227,-74.219,0.000,0
1593292842.208,144.531,-31.738,-34.668,124.023,0.000,0
1593292842.212,164.551,-29.297,-35.156,129.395,0.000,0
1593292842.216,-89.844,-29.785,-32.227,-79.590,0.000,0
1593292842.220,-206.543,-31.250,-33.691,-172.852,0.000,0
1593292842.224,-109.863,-27.832,-33.691,-83.984,0.000,0
1593292842.228,127.930,-24.902,-30.273,120.117,0.000,0
1593292842.232,187.500,-26.855,-29.297,153.320,0.000,0
1593292842.236,-52.246,-27.344,-34.180,-53.223,0.000,0
1593292842.240,-186.035,-24.902,-31.250,-163.086,0.000,0
1593292842.244,-131.348,-22.949,-24.414,-106.445,0.000,0
1593292842.247,96.680,-22.461,-32.227,92.285,0.000,0
1593292842.251,201.172,-24.414,-39.062,166.504,0.000,0
1593292842.255,-23.926,-26.855,-38.086,-28.809,0.000,0
1593292842.259,-187.012,-27.344,-39.551,-156.250,0.000,0
1593292842.263,-152.832,-27.344,-41.016,-118.164,0.000,0
1593292842.267,64.941,-25.391,-40.039,62.012,0.000,0
1593292842.271,199.707,-26.367,-39.062,162.109,0.000,0
1593292842.275,0.488,-29.785,-36.621,-12.695,0.000,0
1593292842.279,-183.594,-33.691,-33.203,-159.180,0.000,0
1593292842.283,-164.062,-33.691,-33.691,-136.230,0.000,0
1593292842.286,37.598,-29.785,-34.180,43.457,0.000,0
1593292842.290,207.031,-33.691,-36.621,181.152,0.000,0
1593292842.294,38.086,-36.621,-37.109,24.414,0.000,0
1593292842.298,-161.621,-29.297,-35.156,-141.602,0.000,0
1593292842.302,-176.270,-27.832,-34.668,-139.160,0.000,0
1593292842.306,6.348,-32.227,-38.086,16.113,0.000,0
1593292842.310,208.496,-30.762,-34.668,184.082,0.000,0
1593292842.314,72.266,-30.762,-31.250,57.129,0.000,0
1593292842.318,-142.090,-31.250,-38.086,-136.230,0.000,0
1593292842.322,-179.199,-30.273,-38.574,-154.297,0.000,0
1593292842.326,-26.367,-28.320,-36.133,-13.672,0.000,0
1593292842.329,206.055,-26.855,-40.039,171.875,0.000,0
1593292842.333,105.469,-30.273,-35.156,80.566,0.000,0
1593292842.337,-146.973,-32.715,-27.832,-122.070,0.000,1
1593292842.341,-197.754,-29.785,-32.227,-158.203,0.000,0
1593292842.345,-59.082,-30.273,-37.598,-48.340,0.000,0
1593292842.349,179.688,-31.250,-36.133,130.859,0.000,0
1593292842.353,121.094,-27.344,-33.691,86.914,0.000,0
1593292842.357,-131.836,-27.344,-36.133,-113.770,0.000,0
1593292842.361,-195.801,-23.438,-36.621,-167.969,0.000,0
1593292842.365,-74.707,-17.090,-36.133,-64.453,0.000,0
1593292842.369,163.574,-20.020,-42.969,128.906,0.000,0
